,"AEP, MWh","Price, MWh $","CAPEX, billions $",Years,"OPEX, anual % from CAPEX","OPEX, $","Revenue anual, $","Total revenue, $",Tax,Total annual,Inflation,Sum of Revenue in 25 years,Sum of OPEX in 20 years,"Revenue Net in 25 years, million $","NPV, Net Present Value"
Estonia,4430000,"88,85","4,644",25,"2,45",113778000,393605500,279827500,0,279827500,"2,2",12934393631,2820236942,12934393631,8290393631
Poland,3289000,"77,76","6,5",25,"2,45",159250000,255752640,96502640,"0,19","78167138,4","2,2",8404367616,3947360060,3610176120,
